date,raw_value,cost_adjusted_value
2026-02-04,103091.03,103062.35293172253
2026-02-05,103002.7,102974.02293172253
2026-02-06,103473.92,103444.66229338739
2026-02-10,103455.19,103425.93229338739
2026-02-11,103765.88,103736.6222933874
2026-02-12,103476.83,103447.57229338739
2026-02-13,103695.31,103666.05229338739
2026-02-17,103535.48,103506.22229338739
2026-02-18,103654.45,103625.19229338739
2026-02-19,103662.98,103633.72229338739
2026-02-20,103744.24,103714.9822933874
2026-02-24,103762.14,103732.88229338739
2026-02-25,103712.99,103683.7322933874
2026-02-26,103708.16,103678.9022933874
2026-02-27,103898.99,103869.7322933874
2026-03-03,103475.94,103446.68229338739
2026-03-04,103503.7,103474.44229338739
2026-03-05,103143.95,103114.69229338739
2026-03-06,102987.64,102958.38229338739
2026-03-10,102872.75,102840.7721907297
2026-03-11,102888.78,102856.8021907297
2026-03-12,102468.73,102436.75219072969
2026-03-13,102360.49,102328.5121907297
2026-03-17,102663.52,102631.5421907297
2026-03-18,102125.43,102093.45219072969
2026-03-19,102138.28,102106.3021907297
2026-03-20,101717.87,101685.89219072969
2026-03-24,101992.87,101960.89219072969
2026-03-25,102175.54,102143.56219072969
2026-03-26,102099.54,102067.3936952044
2026-03-27,101696.97,101664.37182904976
2026-04-01,102403.11,102370.51182904976
2026-04-02,102402.04,102369.44182904976
2026-04-07,102408.39,102375.79182904976
2026-04-08,103004.84,102972.24182904976
2026-04-09,103062.3,103029.70182904977
2026-04-10,102683.05,102650.45182904977
2026-04-14,103117.28,103084.68182904976
2026-04-15,103053.02,103020.42182904977
2026-04-16,103121.64,103089.04182904976
2026-04-17,103512.07,103479.47182904977
2026-04-21,103206.97,103174.37182904976
2026-04-22,103273.54,103240.94182904976
2026-04-23,103448.76,103416.16182904976
2026-04-24,103236.26,103203.66182904976
2026-04-28,103203.73,103171.13182904976
2026-04-29,103150.3,103117.70182904977
2026-04-30,103906.87,103874.27182904976
2026-05-01,103692.04,103659.44182904976
2026-05-05,103745.77,103712.23170925806
2026-05-06,103931.95,103898.41170925806
2026-05-07,103656.88,103623.34170925806
2026-05-08,103794.85,103761.31170925807
2026-05-21,104296.0,104262.46170925806
2026-05-22,104758.85,104725.31170925807
2026-05-26,104724.54,104691.00170925805
2026-05-27,104655.76,104622.22170925805
2026-05-28,104770.84,104737.30170925806
2026-05-29,104672.7,104639.16170925806
2026-06-02,104439.27,104405.73170925806
2026-06-03,104463.37,104429.83170925805
2026-06-04,104796.77,104763.23170925806
2026-06-05,104342.32,104308.78170925807
2026-06-09,104501.53,104467.99170925806
2026-06-10,104561.05,104527.51170925806
