date,raw_value,cost_adjusted_value
2026-02-04,103466.89,103466.89
2026-02-05,102343.09,102343.09
2026-02-06,104553.96,104553.96
2026-02-10,105177.85,105177.85
2026-02-11,106477.08,106477.08
2026-02-12,105055.13,105055.13
2026-02-13,105982.76,105982.76
2026-02-17,105269.11,105269.11
2026-02-18,105896.52,105896.52
2026-02-19,105708.62,105708.62
2026-02-20,106222.96,106222.96
2026-02-24,106236.49,106236.49
2026-02-25,106301.57,106301.57
2026-02-26,106161.78,106161.78
2026-02-27,106646.6,106646.6
2026-03-03,103975.91,103975.91
2026-03-04,104474.48,104474.48
2026-03-05,102774.79,102774.79
2026-03-06,101552.22,101552.22
2026-03-10,101631.06,101631.06
2026-03-11,101814.51,101814.51
2026-03-12,100664.77,100664.77
2026-03-13,100301.81,100301.81
2026-03-17,101543.95,101543.95
2026-03-18,99930.86,99930.86
2026-03-19,99557.86,99557.86
2026-03-20,97883.12,97883.12
2026-03-24,99545.95,99545.95
2026-03-25,100195.6,100195.6
2026-03-26,99279.94,99279.94
2026-03-27,98520.04,98520.04
2026-04-01,100856.01,100856.01
2026-04-02,100827.57,100827.57
2026-04-07,101014.79,101014.79
2026-04-08,103897.97,103897.97
2026-04-09,104043.27,104043.27
2026-04-10,103593.21,103593.21
2026-04-14,104612.53,104612.53
2026-04-15,104100.08,104100.08
2026-04-16,104811.23,104811.23
2026-04-17,105807.13,105807.13
2026-04-21,105085.44,105085.44
2026-04-22,105424.98,105424.98
2026-04-23,105940.88,105940.88
2026-04-24,106146.71,106146.71
2026-04-28,105940.49,105940.49
2026-04-29,106134.87,106134.87
2026-04-30,108182.62,108182.62
2026-05-01,107985.19,107985.19
2026-05-05,108737.38,108737.38
2026-05-06,110213.25,110213.25
2026-05-07,108812.76,108812.76
2026-05-08,110570.04,110570.04
2026-05-21,111074.2,111074.2
2026-05-22,112335.9,112335.9
2026-05-26,113918.63,113918.63
2026-05-27,113885.31,113885.31
2026-05-28,114179.99,114179.99
2026-05-29,114294.29,114294.29
2026-06-02,115239.22,115239.22
2026-06-03,114952.77,114952.77
2026-06-04,114989.5,114989.5
2026-06-05,111969.11,111969.11
2026-06-09,112819.84,112819.84
2026-06-10,112722.48,112722.48
