date,raw_value,cost_adjusted_value
2026-02-04,103104.04,103076.13611233789
2026-02-05,103039.81,103011.90611233789
2026-02-06,103504.2,103476.29611233789
2026-02-10,103385.4,103357.49611233789
2026-02-11,103695.41,103667.5061123379
2026-02-12,103404.59,103376.68611233789
2026-02-13,103637.15,103609.24611233789
2026-02-17,103473.4,103445.49611233789
2026-02-18,103601.16,103573.2561123379
2026-02-19,103611.72,103583.8161123379
2026-02-20,103666.62,103638.71611233789
2026-02-24,103705.64,103677.66217058366
2026-02-25,103638.07,103610.02791002468
2026-02-26,103641.39,103613.34791002468
2026-02-27,103794.63,103765.489786701
2026-03-03,103480.96,103451.819786701
2026-03-04,103574.02,103544.879786701
2026-03-05,103192.22,103163.079786701
2026-03-06,102896.37,102867.22978670099
2026-03-10,102837.16,102808.019786701
2026-03-11,102889.7,102858.78851505385
2026-03-12,102410.95,102380.03851505385
2026-03-13,102318.19,102287.27851505385
2026-03-17,102697.01,102666.09851505385
2026-03-18,102112.33,102081.41851505385
2026-03-19,102098.27,102067.35851505386
2026-03-20,101622.48,101591.56851505385
2026-03-24,102042.56,102011.64851505385
2026-03-25,102095.9,102064.98851505385
2026-03-26,101816.1,101785.18851505386
2026-03-27,101342.4,101311.48851505385
2026-04-01,101977.62,101946.70851505385
2026-04-02,102059.4,102028.48851505385
2026-04-07,102159.35,102128.43851505386
2026-04-08,102965.91,102934.99851505386
2026-04-09,103128.09,103097.17851505385
2026-04-10,102790.4,102759.48851505385
2026-04-14,103322.07,103291.15851505386
2026-04-15,103372.67,103341.75851505385
2026-04-16,103578.62,103547.70851505385
2026-04-17,104060.51,104029.59851505385
2026-04-21,103867.52,103836.60851505386
2026-04-22,104064.42,104033.50851505385
2026-04-23,104330.78,104299.86851505385
2026-04-24,104308.56,104277.64851505385
2026-04-28,104293.97,104263.05851505385
2026-04-29,104392.28,104361.36851505385
2026-04-30,105186.1,105155.18851505386
2026-05-01,105073.06,105042.14851505385
2026-05-05,105108.26,105077.34851505385
2026-05-06,105416.18,105385.26851505385
2026-05-07,105155.28,105124.36851505385
2026-05-08,105494.26,105463.34851505385
2026-05-21,106125.56,106094.64851505385
2026-05-22,106731.1,106700.18851505386
2026-05-26,106881.58,106850.66851505385
2026-05-27,106813.22,106782.30851505385
2026-05-28,106955.1,106924.18851505386
2026-05-29,106922.35,106891.43851505386
2026-06-02,106992.26,106961.34851505385
2026-06-03,106843.51,106812.59851505385
2026-06-04,107143.09,107112.17851505385
2026-06-05,106217.98,106187.06851505385
2026-06-09,106403.11,106372.19851505385
2026-06-10,106454.58,106423.66851505385
