date,raw_value,cost_adjusted_value
2026-02-04,103046.68,103019.43081436449
2026-02-05,102805.38,102775.26709386316
2026-02-06,103769.89,103739.77709386316
2026-02-10,103787.05,103756.93709386316
2026-02-11,104068.26,104037.95652502723
2026-02-12,103409.77,103379.46652502724
2026-02-13,103716.91,103686.60652502724
2026-02-17,103588.24,103557.93652502724
2026-02-18,103815.61,103785.30652502723
2026-02-19,103770.12,103739.05457202386
2026-02-20,103961.3,103930.23457202387
2026-02-24,103907.05,103875.71698341882
2026-02-25,103991.57,103959.80685995167
2026-02-26,103928.08,103896.31685995166
2026-02-27,104043.82,104012.05685995167
2026-03-03,103445.0,103412.6659024634
2026-03-04,103652.22,103618.69946075026
2026-03-05,103060.27,103026.00159512874
2026-03-06,102547.74,102513.08903959484
2026-03-10,102591.91,102556.76482013396
2026-03-11,102566.91,102531.76482013396
2026-03-12,101830.74,101795.59482013396
2026-03-13,101644.84,101609.69482013395
2026-03-17,102201.63,102166.15712358696
2026-03-18,101362.95,101327.47712358696
2026-03-19,101315.84,101280.36712358696
2026-03-20,100555.98,100519.95301469916
2026-03-24,101026.69,100988.48056179436
2026-03-25,101224.6,101186.08969175832
2026-03-26,100674.29,100635.30324686175
2026-03-27,99873.02,99832.43081512913
2026-04-01,101212.28,101170.91857686466
2026-04-02,101407.48,101365.21908561957
2026-04-07,101645.72,101602.42263430363
2026-04-08,103077.9,103034.60263430362
2026-04-09,103380.08,103336.55362733209
2026-04-10,102957.3,102912.92706522839
2026-04-14,104076.62,104031.74570592264
2026-04-15,104261.72,104216.74379580803
2026-04-16,104538.32,104493.19780027449
2026-04-17,105440.2,105394.569549827
2026-04-21,104945.28,104899.59343805174
2026-04-22,105305.62,105259.90857929828
2026-04-23,105481.9,105435.22031999176
2026-04-24,105462.25,105415.57031999176
2026-04-28,105320.98,105274.03317635752
2026-04-29,105285.0,105238.05317635753
2026-04-30,106513.64,106466.57404787187
2026-05-01,106351.35,106304.18747035654
2026-05-05,106395.22,106348.02257401754
2026-05-06,107050.42,107003.03100367862
2026-05-07,106586.49,106538.92655927077
2026-05-08,106947.57,106900.00655927077
2026-05-21,107607.33,107559.75402714754
2026-05-22,108346.0,108298.42402714754
2026-05-26,108567.99,108519.89607728476
2026-05-27,108515.36,108467.26607728476
2026-05-28,108792.24,108744.14607728476
2026-05-29,108728.44,108679.96771650847
2026-06-02,108694.09,108645.61771650847
2026-06-03,108304.51,108256.03771650846
2026-06-04,108969.88,108921.40771650847
2026-06-05,107487.06,107438.58771650847
2026-06-09,107752.49,107704.01771650848
2026-06-10,107827.4,107778.92771650846
