date,raw_value,cost_adjusted_value
2026-02-04,103092.05,103063.45205964017
2026-02-05,102985.67,102956.99836435846
2026-02-06,103487.36,103458.68836435846
2026-02-10,103442.94,103414.26836435846
2026-02-11,103743.87,103715.19836435845
2026-02-12,103437.02,103408.34836435846
2026-02-13,103681.69,103653.01836435846
2026-02-17,103516.29,103487.61836435845
2026-02-18,103647.45,103618.77836435846
2026-02-19,103656.94,103628.26836435846
2026-02-20,103731.05,103702.37836435846
2026-02-24,103747.1,103718.42836435846
2026-02-25,103674.97,103646.29836435846
2026-02-26,103687.54,103658.86836435845
2026-02-27,103887.54,103858.86836435845
2026-03-03,103549.13,103520.45836435846
2026-03-04,103556.81,103528.13836435846
2026-03-05,103218.34,103189.66836435845
2026-03-06,103047.68,103019.00836435845
2026-03-10,102916.43,102886.0718670267
2026-03-11,102936.3,102905.9418670267
2026-03-12,102559.83,102529.4718670267
2026-03-13,102485.16,102454.8018670267
2026-03-17,102774.08,102743.7218670267
2026-03-18,102283.24,102252.8818670267
2026-03-19,102304.81,102274.4518670267
2026-03-20,101938.32,101907.96186702671
2026-03-24,102229.8,102198.43348500288
2026-03-25,102402.73,102371.02999698941
2026-03-26,102196.03,102164.32999698941
2026-03-27,101666.01,101634.30999698941
2026-04-01,102535.69,102503.98999698942
2026-04-02,102584.23,102552.52999698941
2026-04-07,102645.75,102614.04999698942
2026-04-08,103403.25,103371.54999698942
2026-04-09,103531.26,103499.55999698941
2026-04-10,103152.28,103120.57999698941
2026-04-14,103782.47,103750.76999698942
2026-04-15,103820.53,103788.82999698941
2026-04-16,103957.06,103925.35999698941
2026-04-17,104439.01,104407.30999698941
2026-04-21,104149.77,104118.06999698942
2026-04-22,104307.39,104275.68999698941
2026-04-23,104463.07,104431.36999698942
2026-04-24,104346.09,104314.38999698941
2026-04-28,104286.44,104254.73999698942
2026-04-29,104264.98,104233.27999698941
2026-04-30,105066.82,105035.11999698942
2026-05-01,104888.13,104856.42999698942
2026-05-05,104992.4,104959.16637168525
2026-05-06,105279.28,105246.04637168525
2026-05-07,105003.44,104970.20637168526
2026-05-08,105232.79,105199.55637168525
2026-05-21,105735.1,105701.86637168526
2026-05-22,106244.77,106211.53637168526
2026-05-26,106294.62,106261.38637168525
2026-05-27,106228.78,106195.54637168525
2026-05-28,106384.05,106350.81637168526
2026-05-29,106343.3,106310.06637168526
2026-06-02,106220.25,106187.01637168525
2026-06-03,106154.18,106120.94637168525
2026-06-04,106460.6,106427.36637168526
2026-06-05,105721.72,105688.48637168526
2026-06-09,105858.96,105825.72637168526
2026-06-10,105910.31,105877.07637168525
