date,raw_value,cost_adjusted_value
2026-02-04,103095.34,103066.6623688549
2026-02-05,102896.82,102865.85162034114
2026-02-06,103773.11,103742.14162034114
2026-02-10,103769.26,103738.29162034113
2026-02-11,104053.63,104022.66162034114
2026-02-12,103489.91,103458.94162034114
2026-02-13,103793.11,103762.14162034114
2026-02-17,103645.14,103614.17162034113
2026-02-18,103845.37,103814.40162034113
2026-02-19,103822.66,103791.69162034114
2026-02-20,103976.76,103945.79162034113
2026-02-24,103922.21,103891.24162034114
2026-02-25,103957.96,103926.99162034114
2026-02-26,103942.41,103911.44162034114
2026-02-27,104014.51,103983.54162034113
2026-03-03,103523.55,103492.58162034114
2026-03-04,103644.28,103613.31162034113
2026-03-05,103137.99,103106.89104378516
2026-03-06,102709.91,102678.81104378516
2026-03-10,102683.66,102652.56104378516
2026-03-11,102710.63,102679.53104378516
2026-03-12,102178.09,102146.99104378515
2026-03-13,102051.3,102020.20104378516
2026-03-17,102489.62,102458.52104378515
2026-03-18,101849.2,101818.10104378515
2026-03-19,101816.15,101785.05104378515
2026-03-20,101247.24,101216.14104378516
2026-03-24,101722.57,101691.3557444375
2026-03-25,101843.75,101812.5357444375
2026-03-26,101470.74,101439.5257444375
2026-03-27,100921.53,100890.3157444375
2026-04-01,101778.23,101747.01574443749
2026-04-02,101849.33,101818.1157444375
2026-04-07,101978.87,101947.65574443749
2026-04-08,102947.89,102916.6757444375
2026-04-09,103107.37,103076.15574443749
2026-04-10,102788.18,102756.96574443749
2026-04-14,103441.24,103410.0257444375
2026-04-15,103512.95,103481.7357444375
2026-04-16,103729.77,103698.5557444375
2026-04-17,104291.85,104260.6357444375
2026-04-21,104016.84,103985.6257444375
2026-04-22,104256.44,104225.2257444375
2026-04-23,104466.11,104434.8957444375
2026-04-24,104471.54,104440.32574443749
2026-04-28,104410.51,104379.29574443749
2026-04-29,104447.63,104416.4157444375
2026-04-30,105324.53,105293.3157444375
2026-05-01,105218.56,105187.3457444375
2026-05-05,105247.83,105216.6157444375
2026-05-06,105628.38,105595.67453463153
2026-05-07,105394.66,105361.95453463153
2026-05-08,105688.79,105656.08453463152
2026-05-21,106269.6,106236.89453463153
2026-05-22,106824.28,106791.57453463152
2026-05-26,106904.04,106871.33453463152
2026-05-27,106840.11,106807.40453463153
2026-05-28,106987.17,106954.46453463152
2026-05-29,106980.85,106948.14453463153
2026-06-02,107039.73,107006.55445595853
2026-06-03,106885.34,106852.16445595853
2026-06-04,107225.36,107192.18445595853
2026-06-05,106380.24,106347.06445595853
2026-06-09,106538.08,106504.90445595853
2026-06-10,106565.71,106532.53445595854
