date,raw_value,cost_adjusted_value
2026-02-04,103091.25,103062.37491381391
2026-02-05,103013.51,102984.6349138139
2026-02-06,103445.45,103416.5749138139
2026-02-10,103375.42,103346.54491381391
2026-02-11,103660.81,103631.93491381391
2026-02-12,103400.98,103372.1049138139
2026-02-13,103611.42,103582.54491381391
2026-02-17,103456.36,103427.48491381391
2026-02-18,103568.61,103539.73491381391
2026-02-19,103585.31,103556.43491381391
2026-02-20,103639.44,103610.56491381391
2026-02-24,103663.26,103634.3849138139
2026-02-25,103584.35,103555.47491381392
2026-02-26,103582.54,103553.6649138139
2026-02-27,103777.55,103748.67491381391
2026-03-03,103516.65,103487.7749138139
2026-03-04,103505.95,103477.0749138139
2026-03-05,103217.3,103188.42491381391
2026-03-06,103091.4,103062.5249138139
2026-03-10,102947.58,102918.70491381391
2026-03-11,103020.37,102991.4949138139
2026-03-12,102841.69,102812.81491381391
2026-03-13,102801.54,102772.6649138139
2026-03-17,102967.56,102938.68491381391
2026-03-18,102639.53,102610.65491381391
2026-03-19,102632.25,102603.37491381391
2026-03-20,102408.13,102379.25491381391
2026-03-24,102652.69,102623.81491381391
2026-03-25,102615.62,102586.7449138139
2026-03-26,102624.47,102595.59491381391
2026-03-27,102470.29,102441.4149138139
2026-04-01,102622.93,102594.0549138139
2026-04-02,102655.41,102626.53491381391
2026-04-07,102669.58,102640.70491381391
2026-04-08,103009.56,102980.68491381391
2026-04-09,103049.96,103021.08491381392
2026-04-10,102786.4,102757.5249138139
2026-04-14,102922.82,102893.94491381392
2026-04-15,102868.74,102839.86491381392
2026-04-16,103010.45,102981.5749138139
2026-04-17,103219.08,103190.20491381391
2026-04-21,103125.08,103096.20491381391
2026-04-22,103149.29,103120.4149138139
2026-04-23,103449.49,103420.61491381392
2026-04-24,103303.4,103274.5249138139
2026-04-28,103374.69,103345.81491381391
2026-04-29,103448.32,103419.44491381392
2026-04-30,103984.5,103955.62491381391
2026-05-01,103822.6,103793.72491381392
2026-05-05,103725.97,103697.09491381391
2026-05-06,103771.81,103742.93491381391
2026-05-07,103624.42,103595.54491381391
2026-05-08,103745.51,103716.6349138139
2026-05-21,104182.66,104153.78491381391
2026-05-22,104622.66,104593.78491381391
2026-05-26,104559.38,104530.50491381391
2026-05-27,104487.22,104458.34491381391
2026-05-28,104534.89,104506.01491381391
2026-05-29,104454.23,104425.3549138139
2026-06-02,104379.19,104350.31491381391
2026-06-03,104361.25,104332.37491381391
2026-06-04,104543.92,104515.04491381391
2026-06-05,104211.18,104182.3049138139
2026-06-09,104309.48,104280.6049138139
2026-06-10,104358.34,104329.4649138139
