date,raw_value,cost_adjusted_value
2026-02-04,103085.44,103056.27361406223
2026-02-05,103024.63,102987.39724756879
2026-02-06,103102.91,103065.67724756879
2026-02-10,103154.71,103117.4772475688
2026-02-11,103193.98,103156.74724756878
2026-02-12,103153.92,103116.68724756879
2026-02-13,103178.97,103141.73724756879
2026-02-17,103157.17,103119.93724756879
2026-02-18,103173.69,103136.45724756879
2026-02-19,103171.31,103134.07724756878
2026-02-20,103197.14,103159.90724756879
2026-02-24,103202.55,103165.31724756879
2026-02-25,103217.55,103180.31724756879
2026-02-26,103218.16,103180.92724756879
2026-02-27,103231.59,103194.35724756878
2026-03-03,103091.23,103053.99724756878
2026-03-04,103113.11,103075.87724756879
2026-03-05,103036.48,102999.24724756878
2026-03-06,103001.98,102964.74724756878
2026-03-10,103015.27,102978.03724756879
2026-03-11,103014.45,102977.21724756878
2026-03-12,102965.74,102928.50724756879
2026-03-13,102934.54,102897.30724756878
2026-03-17,102993.9,102956.66724756878
2026-03-18,102929.48,102892.24724756878
2026-03-19,102914.87,102877.63724756878
2026-03-20,102830.83,102793.59724756879
2026-03-24,102943.79,102906.23604080797
2026-03-25,103029.0,102991.44604080798
2026-03-26,102888.54,102850.98604080797
2026-03-27,102766.43,102728.87604080797
2026-04-01,103036.48,102998.92604080797
2026-04-02,103048.29,103010.73604080797
2026-04-07,103075.88,103038.05951491334
2026-04-08,103270.87,103233.04951491333
2026-04-09,103272.57,103234.74951491335
2026-04-10,103256.2,103218.37951491334
2026-04-14,103330.04,103287.86814770853
2026-04-15,103304.14,103261.96814770854
2026-04-16,103379.49,103336.21676256794
2026-04-17,103431.36,103387.39197352974
2026-04-21,103380.65,103336.68197352973
2026-04-22,103380.77,103336.80197352974
2026-04-23,103219.26,103175.29197352973
2026-04-24,103165.59,103121.62197352973
2026-04-28,103138.12,103094.15197352973
2026-04-29,102996.96,102952.99197352974
2026-04-30,103273.3,103229.33197352974
2026-05-01,103272.17,103228.20197352974
2026-05-05,103275.85,103231.88197352974
2026-05-06,103308.11,103264.14197352974
2026-05-07,103209.16,103164.12853378686
2026-05-08,103262.3,103217.26853378686
2026-05-21,103203.81,103158.77853378686
2026-05-22,103098.3,103053.26853378686
2026-05-26,103158.55,103113.51853378686
2026-05-27,103225.97,103180.93853378686
2026-05-28,103486.78,103441.74853378686
2026-05-29,103420.07,103375.03853378686
2026-06-02,103294.44,103249.40853378686
2026-06-03,103245.61,103200.57853378686
2026-06-04,103387.1,103342.06853378686
2026-06-05,103070.5,103025.46853378686
2026-06-09,103094.38,103049.34853378686
2026-06-10,103201.7,103156.66853378685
