date,raw_value,cost_adjusted_value
2026-02-04,103091.25,103065.17988641941
2026-02-05,103013.51,102987.43988641941
2026-02-06,103445.45,103419.37988641941
2026-02-10,103375.42,103349.34988641941
2026-02-11,103660.81,103634.73988641941
2026-02-12,103400.98,103374.90988641941
2026-02-13,103611.42,103585.34988641941
2026-02-17,103456.36,103430.28988641941
2026-02-18,103568.61,103542.53988641941
2026-02-19,103585.31,103559.23988641941
2026-02-20,103639.44,103613.36988641942
2026-02-24,103663.26,103637.18988641941
2026-02-25,103584.35,103558.27988641942
2026-02-26,103582.54,103556.4698864194
2026-02-27,103777.55,103751.47988641942
2026-03-03,103516.65,103490.57988641941
2026-03-04,103505.95,103479.87988641941
2026-03-05,103217.3,103191.22988641942
2026-03-06,103091.4,103065.32988641941
2026-03-10,102947.58,102921.50988641942
2026-03-11,103020.37,102994.29988641941
2026-03-12,102841.69,102815.61988641942
2026-03-13,102801.54,102775.4698864194
2026-03-17,102967.56,102941.48988641941
2026-03-18,102639.53,102613.45988641941
2026-03-19,102632.25,102606.17988641941
2026-03-20,102408.13,102382.05988641942
2026-03-24,102652.69,102626.61988641942
2026-03-25,102615.62,102589.54988641941
2026-03-26,102624.47,102598.39988641941
2026-03-27,102470.29,102444.2198864194
2026-04-01,102622.93,102596.8598864194
2026-04-02,102655.41,102629.33988641942
2026-04-07,102669.58,102643.50988641942
2026-04-08,103009.56,102983.48988641941
2026-04-09,103049.96,103023.88988641942
2026-04-10,102786.4,102760.32988641941
2026-04-14,102922.82,102896.74988641942
2026-04-15,102868.74,102842.66988641942
2026-04-16,103010.45,102984.37988641941
2026-04-17,103219.08,103193.00988641942
2026-04-21,103125.08,103099.00988641942
2026-04-22,103149.29,103123.2198864194
2026-04-23,103449.49,103423.41988641942
2026-04-24,103303.4,103277.32988641941
2026-04-28,103374.69,103348.61988641942
2026-04-29,103448.32,103422.24988641942
2026-04-30,103984.5,103958.42988641941
2026-05-01,103822.6,103796.52988641942
2026-05-05,103725.97,103699.89988641941
2026-05-06,103771.81,103745.73988641941
2026-05-07,103624.42,103598.34988641941
2026-05-08,103745.51,103719.43988641941
2026-05-21,104182.66,104156.58988641942
2026-05-22,104622.66,104596.58988641942
2026-05-26,104559.38,104533.30988641942
2026-05-27,104487.22,104461.14988641941
2026-05-28,104534.89,104508.81988641941
2026-05-29,104454.23,104428.15988641941
2026-06-02,104379.19,104353.11988641942
2026-06-03,104361.25,104335.17988641941
2026-06-04,104543.92,104517.84988641941
2026-06-05,104211.18,104185.1098864194
2026-06-09,104309.48,104283.40988641941
2026-06-10,104358.34,104332.26988641941
