date,raw_value,cost_adjusted_value
2026-02-04,103091.59,103062.907374224
2026-02-05,102988.58,102959.82367894228
2026-02-06,103484.15,103455.39367894227
2026-02-10,103436.93,103408.17367894227
2026-02-11,103734.73,103705.97367894228
2026-02-12,103431.33,103402.57367894228
2026-02-13,103673.88,103645.12367894228
2026-02-17,103510.07,103481.31367894229
2026-02-18,103639.73,103610.97367894228
2026-02-19,103649.64,103620.88367894228
2026-02-20,103721.78,103693.02367894228
2026-02-24,103737.92,103709.16367894228
2026-02-25,103664.55,103635.79367894228
2026-02-26,103677.34,103648.58367894228
2026-02-27,103876.59,103847.83367894228
2026-03-03,103548.18,103519.42367894227
2026-03-04,103553.79,103525.03367894227
2026-03-05,103194.52,103165.4381102211
2026-03-06,102966.73,102937.6481102211
2026-03-10,102846.39,102817.3081102211
2026-03-11,102892.71,102863.6281102211
2026-03-12,102584.88,102555.7981102211
2026-03-13,102518.88,102489.7981102211
2026-03-17,102788.46,102759.3781102211
2026-03-18,102338.4,102309.3181102211
2026-03-19,102311.38,102282.2981102211
2026-03-20,101966.02,101936.9381102211
2026-03-24,102314.61,102284.51274766687
2026-03-25,102370.6,102340.50274766688
2026-03-26,102139.1,102109.00274766688
2026-03-27,101718.92,101688.82274766687
2026-04-01,102348.04,102317.94274766686
2026-04-02,102395.27,102365.17274766687
2026-04-07,102477.95,102447.85274766687
2026-04-08,103226.89,103196.79274766687
2026-04-09,103343.61,103313.51274766687
2026-04-10,103038.12,103008.02274766687
2026-04-14,103489.62,103459.52274766687
2026-04-15,103512.93,103482.83274766686
2026-04-16,103703.09,103672.99274766687
2026-04-17,104129.23,104099.13274766687
2026-04-21,103907.92,103877.82274766687
2026-04-22,104065.72,104035.62274766687
2026-04-23,104308.21,104278.11274766688
2026-04-24,104240.94,104210.84274766687
2026-04-28,104248.2,104218.10274766687
2026-04-29,104293.02,104262.92274766687
2026-04-30,105039.85,105009.75274766688
2026-05-01,104892.85,104862.75274766688
2026-05-05,104845.87,104815.77274766687
2026-05-06,105117.13,105087.03274766688
2026-05-07,104882.79,104852.69274766686
2026-05-08,105117.52,105087.42274766687
2026-05-21,105671.79,105641.69274766686
2026-05-22,106201.17,106171.07274766687
2026-05-26,106238.62,106208.52274766687
2026-05-27,106173.06,106142.96274766687
2026-05-28,106298.57,106268.47274766688
2026-05-29,106277.2,106247.10274766687
2026-06-02,106288.8,106258.70274766687
2026-06-03,106141.75,106111.65274766687
2026-06-04,106437.45,106407.35274766687
2026-06-05,105696.8,105666.70274766687
2026-06-09,105816.03,105785.93274766687
2026-06-10,105840.46,105810.36274766688
