date,raw_value,cost_adjusted_value
2026-02-04,103091.25,103064.85768837338
2026-02-05,103013.51,102987.11768837337
2026-02-06,103445.45,103419.05768837337
2026-02-10,103375.42,103349.02768837337
2026-02-11,103660.81,103634.41768837337
2026-02-12,103400.98,103374.58768837337
2026-02-13,103611.42,103585.02768837337
2026-02-17,103456.36,103429.96768837338
2026-02-18,103568.61,103542.21768837338
2026-02-19,103585.31,103558.91768837337
2026-02-20,103639.44,103613.04768837338
2026-02-24,103663.26,103636.86768837337
2026-02-25,103584.35,103557.95768837338
2026-02-26,103582.54,103556.14768837337
2026-02-27,103777.55,103751.15768837338
2026-03-03,103516.65,103490.25768837337
2026-03-04,103505.95,103479.55768837337
2026-03-05,103217.3,103190.90768837338
2026-03-06,103091.4,103065.00768837337
2026-03-10,102947.58,102921.18768837338
2026-03-11,103020.37,102993.97768837337
2026-03-12,102841.69,102815.29768837338
2026-03-13,102801.54,102775.14768837337
2026-03-17,102967.56,102941.16768837337
2026-03-18,102639.53,102613.13768837338
2026-03-19,102632.25,102605.85768837338
2026-03-20,102408.13,102381.73768837338
2026-03-24,102652.69,102626.29768837338
2026-03-25,102615.62,102589.22768837337
2026-03-26,102624.47,102598.07768837338
2026-03-27,102470.29,102443.89768837337
2026-04-01,102622.93,102596.53768837337
2026-04-02,102655.41,102629.01768837338
2026-04-07,102669.58,102643.18768837338
2026-04-08,103009.56,102983.16768837337
2026-04-09,103049.96,103023.56768837338
2026-04-10,102786.4,102760.00768837337
2026-04-14,102922.82,102896.42768837338
2026-04-15,102868.74,102842.34768837338
2026-04-16,103010.45,102984.05768837337
2026-04-17,103219.08,103192.68768837338
2026-04-21,103125.08,103098.68768837338
2026-04-22,103149.29,103122.89768837337
2026-04-23,103449.49,103423.09768837338
2026-04-24,103303.4,103277.00768837337
2026-04-28,103374.69,103348.29768837338
2026-04-29,103448.32,103421.92768837338
2026-04-30,103984.5,103958.10768837338
2026-05-01,103822.6,103796.20768837338
2026-05-05,103725.97,103699.57768837338
2026-05-06,103771.81,103745.41768837337
2026-05-07,103624.42,103598.02768837337
2026-05-08,103745.51,103719.11768837337
2026-05-21,104182.66,104156.26768837338
2026-05-22,104622.66,104596.26768837338
2026-05-26,104559.38,104532.98768837338
2026-05-27,104487.22,104460.82768837338
2026-05-28,104534.89,104508.49768837338
2026-05-29,104454.23,104427.83768837337
2026-06-02,104379.19,104352.79768837338
2026-06-03,104361.25,104334.85768837338
2026-06-04,104543.92,104517.52768837337
2026-06-05,104211.18,104184.78768837337
2026-06-09,104309.48,104283.08768837337
2026-06-10,104358.34,104331.94768837337
